"Survey ID","Seq Number","Response Time",Item,Category,Error,Block
1,1,0.19099998474121,Hacking,"Computer Science",1,1
1,2,0.023000001907349,Hacking,"Computer Science",0,1
1,3,0.14400005340576,Gaming,"Computer Science",1,1
1,4,0.011999845504761,Gaming,"Computer Science",0,1
1,5,0.16000008583069,Technology,"Computer Science",1,1
1,6,0.0090000629425049,Technology,"Computer Science",0,1
1,7,0.16999983787537,Mary,Female,0,2
1,8,0.0099999904632568,Robert,Male,0,2
1,9,0.15499997138977,James,Male,1,2
1,10,0.02400016784668,James,Male,0,2
1,11,0.072999954223633,David,Male,1,3
1,12,0.07099986076355,David,Male,0,3
1,13,0.098999977111816,Microscope,Biology,0,3
1,14,0.059000015258789,Barbara,Female,1,3
1,15,0.12600016593933,Barbara,Female,0,3
1,16,0.046000003814697,William,Male,1,4
1,17,0.071000099182129,William,Male,0,4
1,18,0.10399985313416,Gaming,"Computer Science",1,4
1,19,0.075000047683716,Gaming,"Computer Science",0,4
1,20,0.096999883651733,David,Male,1,4
1,21,0.11300015449524,David,Male,0,4
1,22,0.14299988746643,Protein,Biology,1,5
1,23,0.047000169754028,Protein,Biology,0,5
1,24,0.12999987602234,Life,Biology,1,5
1,25,0.046000003814697,Life,Biology,0,5
1,26,0.12899994850159,Species,Biology,1,5
1,27,0.072000026702881,Species,Biology,0,5
1,28,0.15499997138977,Mary,Female,0,6
1,29,0.01200008392334,Life,Biology,0,6
1,30,0.16299986839294,Patricia,Female,1,6
1,31,0.007000207901001,Patricia,Female,0,6
1,32,0.13299989700317,Richard,Male,0,7
1,33,0.011000156402588,Habitat,Biology,1,7
1,34,0.16499996185303,Habitat,Biology,0,7
1,35,0.0099999904632568,James,Male,1,7
1,36,0.17400002479553,James,Male,1,7
1,37,0.026999950408936,James,Male,0,7
